Initial GenePool BestElite's Error Rate: 14.0%

 133-th training, BestElite's ErrorRate: 11.0%
 134-th training, BestElite's ErrorRate: 11.0%
 135-th training, BestElite's ErrorRate: 9.0%
 136-th training, BestElite's ErrorRate: 9.0%
 137-th training, BestElite's ErrorRate: 9.0%
 138-th training, BestElite's ErrorRate: 9.0%
 139-th training, BestElite's ErrorRate: 9.0%
 140-th training, BestElite's ErrorRate: 9.0%
 141-th training, BestElite's ErrorRate: 9.0%
 142-th training, BestElite's ErrorRate: 9.0%
 143-th training, BestElite's ErrorRate: 9.0%
 144-th training, BestElite's ErrorRate: 9.0%
 145-th training, BestElite's ErrorRate: 9.0%
 146-th training, BestElite's ErrorRate: 9.0%
 147-th training, BestElite's ErrorRate: 9.0%
 148-th training, BestElite's ErrorRate: 9.0%
 149-th training, BestElite's ErrorRate: 9.0%
 150-th training, BestElite's ErrorRate: 9.0%
 151-th training, BestElite's ErrorRate: 9.0%
 152-th training, BestElite's ErrorRate: 9.0%
 153-th training, BestElite's ErrorRate: 9.0%
 154-th training, BestElite's ErrorRate: 9.0%
 155-th training, BestElite's ErrorRate: 9.0%
 156-th training, BestElite's ErrorRate: 9.0%
 157-th training, BestElite's ErrorRate: 9.0%
 158-th training, BestElite's ErrorRate: 9.0%
 159-th training, BestElite's ErrorRate: 9.0%
 160-th training, BestElite's ErrorRate: 9.0%
 161-th training, BestElite's ErrorRate: 9.0%
 162-th training, BestElite's ErrorRate: 9.0%
 163-th training, BestElite's ErrorRate: 9.0%
 164-th training, BestElite's ErrorRate: 9.0%
 165-th training, BestElite's ErrorRate: 9.0%
 166-th training, BestElite's ErrorRate: 9.0%
 167-th training, BestElite's ErrorRate: 9.0%
 168-th training, BestElite's ErrorRate: 9.0%
 169-th training, BestElite's ErrorRate: 9.0%
 170-th training, BestElite's ErrorRate: 9.0%
 171-th training, BestElite's ErrorRate: 9.0%
 172-th training, BestElite's ErrorRate: 9.0%
 173-th training, BestElite's ErrorRate: 9.0%
 174-th training, BestElite's ErrorRate: 9.0%
 175-th training, BestElite's ErrorRate: 9.0%
 176-th training, BestElite's ErrorRate: 9.0%
 177-th training, BestElite's ErrorRate: 9.0%
 178-th training, BestElite's ErrorRate: 9.0%
 179-th training, BestElite's ErrorRate: 9.0%
 180-th training, BestElite's ErrorRate: 9.0%
 181-th training, BestElite's ErrorRate: 9.0%
 182-th training, BestElite's ErrorRate: 9.0%
 183-th training, BestElite's ErrorRate: 9.0%
 184-th training, BestElite's ErrorRate: 9.0%
 185-th training, BestElite's ErrorRate: 9.0%
 186-th training, BestElite's ErrorRate: 9.0%
 187-th training, BestElite's ErrorRate: 9.0%
 188-th training, BestElite's ErrorRate: 9.0%
 189-th training, BestElite's ErrorRate: 9.0%
 190-th training, BestElite's ErrorRate: 9.0%
 191-th training, BestElite's ErrorRate: 9.0%
 192-th training, BestElite's ErrorRate: 9.0%
 193-th training, BestElite's ErrorRate: 9.0%
 194-th training, BestElite's ErrorRate: 9.0%
 195-th training, BestElite's ErrorRate: 9.0%
 196-th training, BestElite's ErrorRate: 9.0%
 197-th training, BestElite's ErrorRate: 9.0%
 198-th training, BestElite's ErrorRate: 9.0%
 199-th training, BestElite's ErrorRate: 9.0%
 200-th training, BestElite's ErrorRate: 9.0%
 201-th training, BestElite's ErrorRate: 9.0%
 202-th training, BestElite's ErrorRate: 9.0%
 203-th training, BestElite's ErrorRate: 10.0%
 204-th training, BestElite's ErrorRate: 10.0%
 205-th training, BestElite's ErrorRate: 10.0%
 206-th training, BestElite's ErrorRate: 10.0%
 207-th training, BestElite's ErrorRate: 10.0%
 208-th training, BestElite's ErrorRate: 10.0%
 209-th training, BestElite's ErrorRate: 10.0%
 210-th training, BestElite's ErrorRate: 10.0%
 211-th training, BestElite's ErrorRate: 10.0%
 212-th training, BestElite's ErrorRate: 10.0%
 213-th training, BestElite's ErrorRate: 10.0%
 214-th training, BestElite's ErrorRate: 10.0%
 215-th training, BestElite's ErrorRate: 10.0%
 216-th training, BestElite's ErrorRate: 10.0%
 217-th training, BestElite's ErrorRate: 10.0%
 218-th training, BestElite's ErrorRate: 10.0%
 219-th training, BestElite's ErrorRate: 10.0%
 220-th training, BestElite's ErrorRate: 10.0%
 221-th training, BestElite's ErrorRate: 10.0%
 222-th training, BestElite's ErrorRate: 9.0%
 223-th training, BestElite's ErrorRate: 9.0%
 224-th training, BestElite's ErrorRate: 9.0%
 225-th training, BestElite's ErrorRate: 9.0%
 226-th training, BestElite's ErrorRate: 9.0%
 227-th training, BestElite's ErrorRate: 9.0%
 228-th training, BestElite's ErrorRate: 9.0%
 229-th training, BestElite's ErrorRate: 9.0%
 230-th training, BestElite's ErrorRate: 9.0%
 231-th training, BestElite's ErrorRate: 9.0%
 232-th training, BestElite's ErrorRate: 9.0%
 233-th training, BestElite's ErrorRate: 9.0%
 234-th training, BestElite's ErrorRate: 9.0%
 235-th training, BestElite's ErrorRate: 9.0%
 236-th training, BestElite's ErrorRate: 9.0%
 237-th training, BestElite's ErrorRate: 9.0%
 238-th training, BestElite's ErrorRate: 9.0%
 239-th training, BestElite's ErrorRate: 9.0%
 240-th training, BestElite's ErrorRate: 9.0%
 241-th training, BestElite's ErrorRate: 9.0%
 242-th training, BestElite's ErrorRate: 9.0%
 243-th training, BestElite's ErrorRate: 9.0%
 244-th training, BestElite's ErrorRate: 9.0%
 245-th training, BestElite's ErrorRate: 9.0%
 246-th training, BestElite's ErrorRate: 9.0%
 247-th training, BestElite's ErrorRate: 9.0%
 248-th training, BestElite's ErrorRate: 9.0%
 249-th training, BestElite's ErrorRate: 9.0%
 250-th training, BestElite's ErrorRate: 9.0%
 251-th training, BestElite's ErrorRate: 9.0%
 252-th training, BestElite's ErrorRate: 9.0%
 253-th training, BestElite's ErrorRate: 9.0%
 254-th training, BestElite's ErrorRate: 10.0%
 255-th training, BestElite's ErrorRate: 10.0%
 256-th training, BestElite's ErrorRate: 10.0%
 257-th training, BestElite's ErrorRate: 10.0%
